sensid;Codice;statid;subnetwork;Codice_SIRAV;type;descr;Nome breve sensore;Codice sensore;Nome;Inizio;Fine;Quota;Comune;Provincia;Acronimo;Nome stazione;Epsg3003_X;Epsg3003_Y;Epsg4258_Lat;Epsg4258_Lon
VEAR0000010QSC;VEAR0000010;ARICA_10;ARICA;10;PORTATA_S;Portata scaricata;QSC;300014250;ARiCA - Fratta a Cologna Veneta Scarico collettore;01/12/2020;;;COLOGNA VENETA (VR);VR;AR;ARiCA - Fratta a Cologna Veneta Scarico collettore;1685889;5021089;45.317839;11.371585
VEAR0000009HID;VEAR0000009;ARICA_9;ARICA;9;LIDRO_1;Livello;HID;300014248;ARiCA - Fratta a Cologna Veneta via Predicale;01/12/2020;;;COLOGNA VENETA (VR);VR;AR;ARiCA - Fratta a Cologna Veneta via Predicale;1686046;5020022;45.308198;11.37318
VEAR0000009Q00;VEAR0000009;ARICA_9;ARICA;9;PORT_1;Portata;Q00;300014249;ARiCA - Fratta a Cologna Veneta via Predicale;01/12/2020;;;COLOGNA VENETA (VR);VR;AR;ARiCA - Fratta a Cologna Veneta via Predicale;1686046;5020022;45.308198;11.37318
VEBS0000107HID;VEBS0000107;Bac_Scolante_107;Bac_Scolante;107;LIDRO_1;Livello;HID;300011930;B2P - Zero;01/05/2017;;;MARCON (VE);VE;BS;B2P - Zero;1763730;5050100;45.55425815;12.37854716
VEBS0000107Q00;VEBS0000107;Bac_Scolante_107;Bac_Scolante;107;PORT_1;Portata;Q00;300011929;B2P - Zero;01/05/2017;;;MARCON (VE);VE;BS;B2P - Zero;1763730;5050100;45.55425815;12.37854716
VEBS0000107TFR;VEBS0000107;Bac_Scolante_107;Bac_Scolante;107;TFREAT;Temperatura acqua;TFR;300011944;B2P - Zero;01/05/2017;;;MARCON (VE);VE;BS;B2P - Zero;1763730;5050100;45.55425815;12.37854716
VEBS0000107TH2;VEBS0000107;Bac_Scolante_107;Bac_Scolante;107;TACQUA;Temperatura acqua;TH2;300011944;B2P - Zero;01/05/2017;;;MARCON (VE);VE;BS;B2P - Zero;1763730;5050100;45.55425815;12.37854716
VEBS0000108HID;VEBS0000108;Bac_Scolante_108;Bac_Scolante;108;LIDRO_1;Livello;HID;300011933;C2P - Marzenego;01/05/2017;;;VENEZIA (VE);VE;BS;C2P - Marzenego;1752310;5043320;45.49756127;12.22898192
VEBS0000108Q00;VEBS0000108;Bac_Scolante_108;Bac_Scolante;108;PORT_1;Portata;Q00;300011932;C2P - Marzenego;01/05/2017;;;VENEZIA (VE);VE;BS;C2P - Marzenego;1752310;5043320;45.49756127;12.22898192
VEBS0000108TFR;VEBS0000108;Bac_Scolante_108;Bac_Scolante;108;TFREAT;Temperatura acqua;TFR;300011945;C2P - Marzenego;01/05/2017;;;VENEZIA (VE);VE;BS;C2P - Marzenego;1752310;5043320;45.49756127;12.22898192
